Category,Key,English,Chinese (Traditional),Notes
,ev14b1o1,He takes your item and from his cloak pulls a replacement.,他接過你的物品，並從斗篷裡抽出了交易物。,
,ev14b2,No thanks!,不用了，謝謝,
,ev14b2o1,"Very well, he says. ""But can I perhaps change your mind?""",「好吧！」他說道。「但也許你可以再考慮一下？」,
,ev14b2o1t1,The offer still stands.,改主意了歡迎再來。,
,,,,
,ev15n,squirrel patrol,松鼠巡邏員,
,ev15o1,"The squirrel looks at you absent mindedly. ""Long ago I retired from the patrol"", he says. ""Now I spend my days adventuring and reliving my glory days. I don't need much of my old equipment anymore. Can I interest you in something?""",這只松鼠漫不經心地看著你。「我很久以前就從巡邏隊退休了。」他說道「現在我每天四處冒險，回憶充滿榮耀的過去。大部分舊裝備我已經用不上了，有哪件是你需要的嗎？」,
,ev15b1,"""I'll take a shield""",「我想要一面盾牌」, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev15b1o1,"From beneath his bushy tail, he pulls a shield. ""This may protect you. Remember, loot is only valuable if you make it back alive.""",他從毛茸茸的大尾巴裡抽出一面盾牌。「它應該能保護你，但請記住，戰利品只有在你活著回去後才有價值。」,
,ev15b1o1t1,I hope the shield serves you well!,希望這面盾能好好保護你！,
,ev15b2,"""I'll take a weapon""",「我想要一把武器」, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev15b2o1,"He reaches into his tunic and pulls out a weapon, tossing it to you.",他將手伸進外套裡，掏出把武器扔給了你。,
,ev15b2o1t1,Strike down any who oppose the patrol!,打倒所有反抗巡邏隊的敵人！,
,ev15b2o1t2,The patrol lives by these weapons!,這些武器幫助巡邏隊存活了下來！,
,ev15b3,Maybe something to eat,也許你能給我些吃的,
,ev15b3o1,"He scratches at the ground. Beneath his feet is a mound of nuts and hidden among them, many a delicious food.",他刨了刨地面。在他的腳下埋著一堆堅果，其中混了很多美味的食物。,
,ev15b3o1t1,An army marches on its stomach!,吃飽的隊伍好行軍！,
,ev15b3o1t2,Better than what we used to eat on the patrol.,比我們過去在巡邏時吃的還要更好。,
,ev15i1,Hark! You are greeted by a member of the patrol!,嘿！巡邏隊的一員向你問好！,
,ev15f1,Long live the patrol!,巡邏隊萬歲！,
,ev15f2,The patrol shall conquer!,巡邏隊必勝！,
,ev15f3,"In retirement, I still patrol!",即使退休了，我仍然在四處巡邏！,
,,,,
,ev16n,Statue of Anna,安娜的雕像,
,ev16o1,"Inscribed on the statue: ""Anna bestowed gifts The world felt safe in her arms healer in a fire""",雕像上刻著：「安娜贈予禮物　世人在她的懷抱中感到安心　烈焰中的治療者」,
,ev16b1,Gain 5 max hp,獲得 5 點最大血量,
,ev16b1o1,You leave a coin. Then kneel before the statue and say a prayer. Anna somehow seems to reflect light even in this dark place.,你留下了一枚金幣，並在雕像面前跪下禱告。安娜似乎在如此黑暗的地方都能閃耀著些許光芒。,
,ev16b2,Steal coins [Get 10 gold or a fight begins],偷取金幣【獲得 10 枚金幣或觸發戰鬥】,
,ev16b2o1,Travelers leave coins by the statue as a token for their prayers. You decide that Anna won't miss just a few.,旅行者們在雕像邊留下金幣作為他們祈禱的供奉。你覺得安娜不會在意少了幾枚金幣的。,
,ev16b2o2,"You approach the statue to grab a few coins. As the coins jingle, you turn to see an approaching group of enemies.",你走近雕像抓了把金幣。到手的金幣叮當作響，但你轉身便看到了一群敵人在接近。,
,ev16b3,Leave,離開,
,ev16b3o1,You say a quick prayer. You decide to leave the statue behind.,你念了句禱詞便匆匆離去了。,
,,,,
,ev17n,A Red fox in the dark,黑暗中的赤狐,
,ev17o1,"The fox steps out from the shadows. ""Natural prey."", he says. ""If we battle, I shall make short work of you. Be ye friend or foe?""",狐狸從陰影中現身。「天然的獵物。」他說道。「如果咱們打起來，我會將你瞬間撕成碎片。你，是敵是友？」,
,ev17o1cr8,"From the darkness he emerges. A fox! His tail flicks beneath his cloak. ""You won't make much of a meal,"" he says. ""But a high price your body will fetch. Be ye friend or foe?""",他從黑暗中出現。一隻狐狸！他的尾巴在斗篷下輕拂。 “你不會做太多一頓飯，”他說。 “但你的身體會賣得很高。你是朋友還是敵人？”, WARNING: AUTO-TRANSLATION #####################################################
,ev17o1tote,"The stones on your backpack glow - danger is near! You turn to see the fox. He has perhaps been watching you for a while. ""Been a while since I've had a Toad,"" he says. ""Be ye friend or foe?""",你背包上的石頭會發光——危險就在附近！你轉身去看狐狸。他可能已經觀察你一段時間了。 “我已經有一段時間沒有吃蟾蜍了，”他說。 “你是朋友還是敵人？”, WARNING: AUTO-TRANSLATION #####################################################
,ev17b1,I'm a friend!,我是朋友！,
,ev17b1o1,He nods and steps aside to let you pass. Your tail twitches instinctively. You're lucky he let you live.,他點點頭，走到一旁讓你通過，你的尾巴本能地顫抖，算你好運被他饒了一命。,
,ev17b1o1t1,Be gone then!,那就滾吧！,
,ev17b1o1t2,Don't make me regret it!,可別讓我反悔！,
,ev17b1o1t3,I shall watch you.,我會盯著你的。,
,ev17b2,I'm a foe! [Start Combat],我是敵人！【觸發戰鬥】,
,ev17b2o1,He draws his sword. Slowly sizing you up...,他拔出劍來，緩緩地打量著你……,
,ev17b2o2,"He draws his sword... and then... stops. ""Ha!"" he laughs. ""You have the heart of a fox. I respect you. You may have my blade.""",他拔出劍來…然後…停下了。「哈！」他笑道。「真是只心如狐狸的老鼠，我很欣賞你，你可以拿走我的劍。」, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev17b2o2purse,"He draws his sword... and then... stops. ""Ha!"" he laughs. ""A rat with the heart of a fox. I respect you. You may have my blade.""",他拔出劍……然後……停了下來。 “哈！”他笑了。 “一隻狐狸心的老鼠。我尊重你。你可以擁有我的劍。”, WARNING: AUTO-TRANSLATION #####################################################
,ev17b2o2t1,I respect your courage,我欣賞你的勇氣,
,ev17i1,Fear me brigand!,怕不怕啊，小強盜！,
,ev17i2,Oh look!,瞧瞧，一隻無助的小老鼠。, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev17i2purse,"Oh look, a weak little rat.",哦，看，一隻虛弱的小老鼠。, WARNING: AUTO-TRANSLATION #####################################################
,ev17i3,"If I was hungry, you'd be dead already.",幸好我不餓，不然你早就死了。,
,ev17f1,Don't make me regret it!,可別讓我反悔！,
,ev17f2,I've never spared a life before.,在這之前我還從未手下留情過。,
,ev17f3,I shall be watching you.,我會盯著你的。,
,,,,
,ev18n,shamanic turtle,烏龜薩滿,
,ev18o1,"A waft of smoke passes by your nose. What is that? You smell a lot of strange things in the swamp, but ritual smoke of the turtles has an unmistakable order. Smells sweet like chocolate. Smells like they need to wash their shell too. ""Our magic is a gamble."" she says to you. ""Will you let fate guide you?""",一股煙霧掠過你的鼻尖。那是什麼？雖然在沼澤裡已經嗅過太多奇怪的氣味，但你絕不會認錯烏龜們的儀式煙霧，既香甜如巧克力，又異臭如淤泥。「我們的魔法就像一場賭博！」她對你說道。「你願接受命運的指引嗎？」,
,ev18b1,80% legendary 20% other,80% 獲得傳說物品，20% 獲得其它物品,
,ev18b1o1,"Fortune favors you and a legendary item appears at the base of her staff. ""Lucky"", she says.",幸運女神眷顧了你，一件傳說物品在她法杖之下顯現。「運氣真好。」她說道。,
,ev18b1o2,"Alas, she says. ""The spirits are not speaking today. Perhaps this item can still be useful to you.""",「唉…」她嘆了口氣。「聖靈不語，時運不與。也許這件物品能對你有點幫助吧。」,
,ev18b2,70% legendary 30% other,70% 獲得傳說物品，30% 獲得其它物品,
,ev18b2o1,"Fortune favors you and a legendary item appears at the base of her staff. ""Lucky"", she says.",幸運女神眷顧了你，一件傳說物品在她法杖之下顯現。「運氣真好。」她說道。,
,ev18b2o2,"Alas, she says. ""The spirits are not speaking today. Perhaps this item can still be useful to you.""",「唉…」她嘆了口氣。「聖靈不語，時運不與。也許這件物品能對你有點幫助吧。」,
,ev18b3,50% legendary 50% other,50% 獲得傳說物品，50% 獲得其它物品,
,ev18b3o1,"Fortune favors you and a legendary item appears at the base of her staff. ""Lucky"", she says.",幸運女神眷顧了你，一件傳說物品在她法杖之下顯現。「運氣真好。」她說道。,
,ev18b3o2,"Alas, she says. ""The spirits are not speaking today. Perhaps this item can still be useful to you.""",「唉…」她嘆了口氣。「聖靈不語，時運不與。也許這件物品能對你有點幫助吧。」,
,ev18b4,10% legendary 90% other,10% 獲得傳說物品，90% 獲得其它物品,
,ev18b4o1,"Fortune favors you and a legendary item appears at the base of her staff. ""Lucky"", she says.",幸運女神眷顧了你，一件傳說物品在她法杖之下顯現。「運氣真好。」她說道。,
,ev18b4o2,"Alas, she says. ""The spirits are not speaking today. Perhaps this item can still be useful to you.""",「唉…」她嘆了口氣。「聖靈不語，時運不與。也許這件物品能對你有點幫助吧。」,
,ev18b5,No thanks!,不用了，謝謝,
,ev18b5o1,She nods her head,她點了點頭,
,ev18i1,Hey - cute little one!,嗨，小可愛！,
,ev18i2,Come here let me pinch your cheek.,快過來，讓我捏捏你的臉頰。,
,ev18f1,Goodbye child.,再見了，孩子。,
,ev18f2,Come back soon now!,記得再來看我！,
,ev18f3,"You stay away from deep water, okay?",記得離深水處遠一點，好嗎？,
,,,,
,ev19n,Wheel,幸運輪盤,
,ev19o1,Spin the wheel!,轉動輪盤！,
,ev19i1,Spin the choice!,轉得你心儀的獎品！,
,ev19i2,Will you take a spin?,要來試試看嗎？,
,ev19i3,Spin and see what you get!,轉轉輪盤，看看你會得到什麼！,
,ev19i4,"Spin the wheel, win a prize, thank me later!",轉動輪盤，贏得獎勵，你會感謝我的！,
,ev19f1,Thanks for playing!,感謝遊玩！,
,ev19f2,Hope you had fun!,希望你玩得開心！,
,ev19f3,Moles are the best gamers.,鼴鼠是最棒的玩家。,
,,,,
,evCardi1,The cards hold your future - or your doom!,這些卡牌預示著你的未來——或是你的滅亡！,
,evCardf1,The truth is in the cards,真理蘊藏在這些卡牌之中,
,,,,
,ev20n,Apprentice of Magic,魔法學徒,
,ev20o1,"You discover a rabbit in a witch's hat. It's a bit too big for her, pushing her ears back. ""I've been learning all about magic! It's really amazing! Are you learning too?""",你發現一隻戴著女巫帽的兔子。帽子對她來說明顯過大了，把她的耳朵都壓向了後腦勺。「我一直在學習魔法相關的東西！它們真的很神奇——盡管青蛙們告訴我很快就會變得不一樣了！」, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev20o1tote,"You discover a rabbit in a witch's hat. It's a bit too big for her, pushing her ears back. ""Wow!"" she says. ""Your backpack looks enchanted! Can I offer you a wand?""",你發現了一隻戴著女巫帽子的兔子。這對她來說有點太大了，把她的耳朵往後推。 “哇！”她說。 “你的背包看起來很迷人！我可以給你一根魔杖嗎？”, WARNING: AUTO-TRANSLATION #####################################################
,ev20b1,Buy a wand,買一根魔杖,
,ev20b1o1,"You can have my first wand, she says. ""I've outgrown it. I'm on my second wand now.""",「你可以把我的第一根魔杖拿去。」她說道。「它對我來說太小了。我現在已經在用第二根了。」,
,ev20b1o1t1,Hope you like it!,希望你喜歡它！,
,ev20b1o1t2,I'll miss that wand!,我會想念那根魔杖的！,
,ev20b2,No thanks,不用了，謝謝,
,ev20b2o1,"Oh well, she says. ""I guess I still have a few things to learn from this wand anyway.""",「哦，好吧」她說道。「我想我還能從這根魔杖中再學些東西。」,
,ev20b2o1t1,"Don't need my wand, huh?",不需要我的魔杖，是嗎？,
,ev20b2o1t2,Only as good as your wand!,只有自己的魔杖才是最好的！,
,ev20i1,Oh boy! Another adventurer!,天啊！又一個冒險家！,
,ev20i2,Gee! An explorer here?!,哇！這有個探險家？！,
,ev20i3,Are you learning to be a mage too?,你也在學習成為法師嗎？,
,ev20i3tote,Wow! A toad learning magic from me! What an honor!,哇！一隻向我學習魔法的癩蛤蟆！多麼榮幸！, WARNING: AUTO-TRANSLATION #####################################################
,ev20i4,I'm not alone!,看來這裡不只有我一個！,
,ev20f1,This was great!,這根魔杖可是很棒的哦！,
,ev20f2,Wow! I hope to see you so soon!,哇！希望很快又能見到你！,
,ev20f3,So glad we met!,很高興我們相遇了！,
,ev20f4,Bi'ya! Bi'ya!,拜拜啦！,
,,,,
,ev21n,Scholar of Magic,魔法學者,
,ev21o1,"A rabbit is here practicing spells on a nearby rock. ""I've learned so much,"" she says. ""Can I interest you in a magic book?""",一隻兔子正在對著旁邊的一塊石頭練習魔法。「我從這本魔法書學到了很多知識。」她說道。「你想買下它來讀讀看嗎？」,
,ev21b1,Buy a book,買一本書,
,ev21b1o1,"Enjoy your read! she says. ""And let me know if you want to hang out sometime soon. I'm free pretty much any time.""",「閱讀愉快！」她說，「如果之後你想來這裡找我的話，隨時都歡迎。」,
,ev21b1o1t1,Hope you like it!,希望你喜歡它！,
,ev21b1o1t2,It's a real page turner!,這本書超棒的！,
,ev21b1o1t3,Read it too many times already.,我已經讀過這本太多遍了。,
,ev21b2,No thanks,不用了，謝謝,
,ev21b2o1,"""Rats!"" she says. ",「老鼠！」她說，「噢！我並沒有要冒犯你的意思！」, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev21b2o1purse,"""Rats!"" she says. ""Oh! I hope I didn't offend you!""",“老鼠！”她說。 “哦！我希望我沒有得罪你！”, WARNING: AUTO-TRANSLATION #####################################################
,ev21b2o1t1,Book still available!,我這還有幾本魔法書！,
,ev21b2o1t2,I guess I can read it again.,我想我可以把它再讀一遍。,
,ev21b2o1t3,I'll read it a few more times.,讓我再讀讀這本書。,
,ev21b2o1t4,I can probably learn a lot from this.,我應該可以從中學到很多。,
,,,,
,ev22n,Matthew's Blessing,馬修的祝福,
,ev22o1,"A wise rabbit sits there, meditating in the midst of this dangerous place. ""Fear not"", he says. """"My name is matthew, and I have lived here for many years. With proper organization, any challenge may be overcome. Now let me assist you...""",一隻睿智的兔子正在這危機四伏之處打坐冥想。「別害怕！」他說道。「只要精心規劃，任何艱險都可安然度過！我叫馬修，已在這生活多年，就讓我來協助你……」,
,ev22b1,start with 2 uncommon items,以 2 件精良物品開局,
,ev22b1o1,"Indeed, says Matthew. ""But remember, rare items are a crutch. Good organization requires skill - not rarity.""",「不錯。」馬修說道。「但請記住，稀有的物品只是輔助，一個好的規劃需要的是技巧——絕非稀有度。」,
,ev22b2,gain 10 max hp,獲得 10 點最大血量,
,ev22b2o1,"True strength comes from your backpack, he says. ""Don't forget it""",「真正的力量來自你的背包。」他說道。「可要切記。」,
,ev22b3,Become an archer,成為一名弓箭手,
,ev22b3o1,"""Archery is a true art form. So many pieces must be carefully placed."" He produces a bow and arrows. ""Perhaps I can help you begin""",「弓道是門真正的藝術，有太多細節需要仔細地掌控。」他說完便拿出一組弓箭。「也許我能領你入門。」, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev22b4,Get a rare item,獲得一件罕見物品,
,ev22b4o1,"True strength comes from your backpack, he says. ""Don't forget it""",「真正的力量來自你的背包。」他說道。「可要切記。」,
,ev22i1,Allow me to help you...,請讓我幫助你……,
,ev22i2,"With care, even you can survive...",小心謹慎的話，你也能活下去……,
,ev22i3,Take time to organize...,沉下心來整理……,
,ev22i4,You will make it! Just organize...,你能夠做到！只需精心……,
,ev22i5,It's all about arrangement...,整理方式決定一切……,
,ev22i6,What you carry says a lot about you...,從你的行李就能了解你的個性……,
,ev22i7,A beautiful backpack  is its own reward...,善待背包，自有福報……,
,ev22i8,Everything in its place...,萬物各歸其位……,
,ev22i9,A perfect backpack... a fantasy...,一個完美的背包…如夢似幻…,
,ev22i10,"Accept what you get, organize...",虛心接受，耐心整理……,
,ev22i11,When your backpack is full of lemons...,即便你的背包裝滿了檸檬……,
,ev22f1,I have faith...,我有信心……,
,ev22f2,I know you will make it...,我知道你能夠做到……,
,ev22f3,I believe in you...,我相信著你……,
,ev22f4,My blessings guide you...,我的祝福將指引你……,
,ev22f5,Let your backpack show you the way..,讓你的背包來指明方向……,
,,,,
,evss,Want to see what I have today?,想看看我今天準備了什麼嗎？,
,evso1,Here's what I have today...,這些是本日的商品……,
,evso2,Found most of these under a toadstool,這些東西大部分都是在毒蕈下發現的,
,evso3,I have selections from across the land!,各地的特產任你挑選！,
,evso4,Rare items for you!,為你準備的精品！,
,evsr1,Not right for you?,覺得不適合自己？,
,evsr2,"Okay, here's your money back!",好吧，這是你的退款！,
,evsr3,I was sorry to let this go anyway!,反正我也有些後悔脫手了！,
,evsr4,I'll take it back!,那我就拿回來了！,
,evss1,More money for me!,錢越多越好！,
,evss2,Okay - hand it over,沒問題，拿來吧！,
,evss3,I'll try it out,我來試試看吧！,
,evss4,I'll buy that for a dollar!,那玩意我只肯出一枚來買！,
,evsf1,Yum! I'll be taking that!,好誒！那個我要了！,
,evsf2,I want that!,我想要那個！,
,evsf3,Woah! A tasty fly! Give me!,哇！一隻美味蒼蠅！快給我！,
,evsa1,Thank you!,感謝你！,
,evsa2,Economics!,這就是經濟學！,
,evsa3,Hope you enjoy it!,希望你喜歡！,
,evsa4,It looks good on you!,看起來很適合你！,
,evsa5,Frogs have no use for these anyway!,反正這些對我們青蛙都是無用之物！,
,evsa6,Trading is fun!,交易很有趣！,
,evsa7,Right into your backpack!,你的背包需要它！,
,evsgb1,See you later!,回頭見！,
,evsgb2,Good luck storming the dungeon!,祝你闖蕩地牢好運！,
,evsgb3,See you again soon!,希望早日再見！,
,evsgb4,Let me know if you see any tasty flies!,如果看到了美味蒼蠅記得告訴我！,
,evsca1,Maybe if you get some more money!,賺更多錢後再來吧！,
,evsca2,You can't afford this!,你買不起這個！,
,evsca3,You need more coins!,你需要更多錢！,
,evsca4,I need payment!,我要掙錢的！,
,evsca5,This isn't a charity!,我不是做慈善的！,
,evsca6,Nothing is free,天下沒有白吃的午餐,
,,,,
buttons,b1,End Turn,結束回合,
,b2,Stats,統計資料,
,b3,Save Game,儲存遊戲,
,b4,options,選項,
,b5,reorganize,整理背包,
,b6,Scratch,爪擊,
,b7,done,完成,
,b7back,back,背部,"""Go back to the previous menu"" WARNING: AUTO-TRANSLATION #####################################################"
,b8,Go adventuring!,出發冒險！,
,b9,cancel,取消,
,b10,Test,測試,
,b11,Run,運行,
,b12,Autorun: on,自動運行：開啟,
,b13,Autorun: off,自動運行：關閉,
,bd1,Scratch the enemy for 3 damage. Costs 1 Energy,爪擊敵人造成 /x 點傷害，消耗 /y 點能量,
,bd2,Reorganize your inventory in battle. Costs 3 energy,在戰鬥中整理背包，消耗 3 點能量,
,bd3,Test your core,測試你的核心,
,bd4,Run your core - ends your turn,運行你的核心，再來結束你的回合,
,bd5,"When autorun is enabled, you will automatically use your core at the start of each turn",當自動運行被開啟時，你會在每回合開始時自動使用你的核心,
hud,h1,floor,樓層,
,h2,experience,經驗值,
,h3,max level,最大等級,
,h4,level,等級, WARNING: AUTO-TRANSLATION #####################################################
status effects,se1,Poison,中毒,
,se1d,Will take /x damage at the end of turn,在回合開始時，受到 /x 點傷害, WARNING: ENGLISH TEXT CHANGED #####################################################
,se2,Regen,再生,
,se2d,Will recover  /x health at start of turn,在回合開始時，回復 /x 點血量,
,se3,Spikes,尖刺,
,se3d,Will deal /x damage if attacked,在受到攻擊時，造成 /x 點傷害,
,se4,Haste,迅速,
,se4d,Will add /x additional block when blocking,在進行格擋時，額外增加 /x 點格擋,
,se5,Slow,緩慢,
,se5d,Will reduce block by /x when blocking,在進行格擋時，額外減少 /x 點格擋,
,se6,Rage,狂暴,
,se6d,Will add /x damage when attacking,在進行攻擊時，增加 /x 點傷害,
,se7,Weak,虛弱,
,se7d,Will reduce /x damage when attacking,在進行攻擊時，減少 /x 點傷害,
,se8,Dodge,閃避,
,se8d,The next /x attacks will do no damage,面對接下來的 /x 次攻擊，不會受到傷害,
,se9,Frozen,冰凍,
,se9d,/Will take no action for /x turns,在接下來的 /x 個回合內，不會採取行動,
,se10,Burn,燃燒,
,se10d,Will take /x damage at start of turn. This can be blocked,在回合開始時，受到可被格擋的 /x 點傷害,
,se11,Tough Hide,硬皮, WARNING: AUTO-TRANSLATION #####################################################
,se11d,Damage from projectiles is reduced by /x%,來自射彈的傷害減少 /x%, WARNING: AUTO-TRANSLATION #####################################################
Card Descriptors,Energy,Energy,活力, WARNING: AUTO-TRANSLATION #####################################################
,Energyd,Energy is a resource you gain each turn. You need to end your turn to get more,能量是你每回合獲得的資源。你需要結束你的回合以獲得更多, WARNING: AUTO-TRANSLATION #####################################################
,Enemy,Enemy,敵人, WARNING: AUTO-TRANSLATION #####################################################
,Enemyd,The currently selected enemy. You can target any enemy,當前選擇的敵人。你可以瞄準任何敵人, WARNING: AUTO-TRANSLATION #####################################################
,all enemies,all enemies,所有的敵人, WARNING: AUTO-TRANSLATION #####################################################
,all enemiesd,All the current enemies - regardless of your target,所有當前的敵人——不管你的目標是什麼, WARNING: AUTO-TRANSLATION #####################################################
,Damage,Damage,損害, WARNING: AUTO-TRANSLATION #####################################################
,Block,Block,堵塞, WARNING: AUTO-TRANSLATION #####################################################
,Blockd,"When hit, most attacks decrease block instead of HP. Block resets each turn",被擊中時，大多數攻擊會減少格擋而不是 HP。每回合重置方塊, WARNING: AUTO-TRANSLATION #####################################################
,HP,HP,生命值, WARNING: AUTO-TRANSLATION #####################################################
,HPd,"If HP is 0, you will die",如果HP為0，你會死, WARNING: AUTO-TRANSLATION #####################################################
,Luck,Luck,運氣, WARNING: AUTO-TRANSLATION #####################################################
,Luckd,Luck increases your chances of finding rare items. It stacks!,運氣會增加你找到稀有物品的機會。它堆疊！, WARNING: AUTO-TRANSLATION #####################################################
,discarded,discarded,丟棄, WARNING: AUTO-TRANSLATION #####################################################
,discardedd,Discarded carvings can be drawn again later this combat,丟棄的雕刻可以在本次戰鬥後期再次繪製, WARNING: AUTO-TRANSLATION #####################################################
,Banished,Banished,被放逐, WARNING: AUTO-TRANSLATION #####################################################
,Banishedd,Banished carvings are removed for the rest of this combat,在這場戰鬥的剩餘時間裡，被放逐的雕刻被移除, WARNING: AUTO-TRANSLATION #####################################################
,Disabled,Disabled,已禁用, WARNING: AUTO-TRANSLATION #####################################################
,Disabledd,Items have no effects while disabled,物品在禁用時沒有效果, WARNING: AUTO-TRANSLATION #####################################################
,Mana,Mana,法力, WARNING: AUTO-TRANSLATION #####################################################
,Manad,Mana can be used in some items instead of energy. To use mana the item must be adjacent to a manastone or connected through conductive items,法力可以用於某些物品而不是能量。要使用魔法，該物品必須與魔法石相鄰或通過導電物品連接, WARNING: AUTO-TRANSLATION #####################################################
Store,Cost,Cost,價格,
,onSale,On Sale,特價中,
Rarities,common,common,普通,
,uncommon,uncommon,精良,
,rare,rare,罕見,
,legendary,legendary,傳說,
Types,weapon,Weapon,武器,
,Armor,Armor,護甲,
,Shield,Shield,盾牌,
,Accessory,Accessory,飾品,
,Bow,Bow,弓弩,
,Arrow,Arrow,箭矢,
,Consumable,Consumable,消耗品,
,Gold,Gold,金幣,
,Manastone,Manastone,法力石,
,Key,Key,鑰匙,
,Curse,Curse,詛咒,
,Ingredient,Ingredient,原料,
,Wand,Wand,魔杖,
,Book,Book,書本,
,Cleaver,Cleaver,廚刀,
,Clothing,Clothing,服裝,
,Helmet,Helmet,頭盔,
,Footwear,Footwear,鞋類,
,Fish,Fish,魚類,
,Relic,Relic,遺物,
,Glove,Glove,手套,
,Magic,Magic,魔法,
,Gem,Gem,寶石,
,Structure,Structure,建材,
,Ring,Ring,戒指,
,Rune,Rune,符文,
,Carving,Carving,雕飾,
,Component,Component,零件,
,Potion,Potion,藥水,
Limits,ul,use,使用次數,
,ulp,uses,使用次數,
,ul1,1 use,還能使用 1 次,
,ul2,/x uses,還能使用 /x 次,
,ul3,Can be used 1 time each turn,每個回合可以使用 1 次,
,ul4,Can be used /x times each turn,每個回合可以使用 /x 次,
,ul5,Can be used 1 time this turn,本回合可以使用 1 次,
,ul6,Can be used /x times this turn,本回合可以使用 /x 次,
,ul7,Can be used 1 time each combat,每場戰鬥可以使用 1 次,
,ul8,Can be used /x times each combat,每場戰鬥可以使用 /x 次,
,ul9,Can be used 1 time this combat,本場戰鬥可以使用 1 次,
,ul10,Can be used /x times this combat,本場戰鬥可以使用 /x 次,
,t1,On use,被使用時,
,t1c,On Summon,召喚時, WARNING: AUTO-TRANSLATION #####################################################
triggers,t2,When destroyed,被摧毀時,
,t3,When added,被放入時,
,t4,When removed,被移除時,
,t5,Each turn,每個回合,
,t6,When your turn ends,你的回合結束時,
,t7,Each combat,每場戰鬥,
,t8,When combat ends,戰鬥結束時,
,t9,On kill,擊殺時,
,t10,On kill (non summon),擊殺非召喚物時,
,t11,When rotated,被旋轉時,
,t12,When out of uses,使用次數耗盡時,
,t13,When used,被使用後,
,t14,When selected,被選擇後,
,t15,On take damage,受到傷害時,
,t15b,When attacked,被攻擊時, WARNING: AUTO-TRANSLATION #####################################################
,t16,When this moves,此物品移動時,
,t17,When this finishes moving,此物品完成移動時,
,t18,When moved in combat,此物品在戰鬥中移動時,
,t19,On Scratch,進行爪擊時,
,t20,For each empty space [to the right],依照[右方]的空格數量來,
,t21,For each empty space [below],依照[下方]的空格數量來,
,t22,For each empty space [to the left],依照[左方]的空格數量來,
,t23,For each empty space [above],依照[上方]的空格數量來,
,t24,For each adjacent structure,依照鄰接的建材數量來,
,t25,For each adjacent or diagonal structure,依照鄰接或對角的建材數量來,
,t26,When armor or a shield is present,當護甲或盾牌存在時,
,t26b,For each armor or shield,對於每個盔甲或盾牌, WARNING: AUTO-TRANSLATION #####################################################
,t27,For each space below,依照下方的格子數量來,
,t28,When an item in this column is destroyed,此縱行有物品被摧毀時,
,t29,When an adjacent item is destroyed,鄰接的物品被摧毀時,
,t29b,When an adjacent or diagonal item is destroyed,鄰接或對角的物品被摧毀時,
,t30,For each space above this,依照上方的格子數量來,
,t30b,"If this is not in the top row,",如果此物品不在最上方的橫列,
,t31,When an adjacent weapon is used,鄰接的武器被使用時,
,t32,If there is an item two spaces away,如果距離兩格處有物品,
,t33,For each adjacent or diagonal Curse,依照鄰接或對角的詛咒數量來,
,t33b,For each adjacent Curse,依照鄰接的詛咒數量來,
,t34,When a Wand kills an enemy,使用魔杖擊殺敵人時,
,t35,If there is an adjacent weapon,如果有鄰接的武器,
,t36,For each connected Manastone,依照接通的法力石數量來,
,t37,For each adjacent curse,依照鄰接的詛咒數量來,
,t38,For each adjacent or diagonal Fish,依照鄰接或對角的魚類數量來,
,t39,When an arrow (to the right) kills a non-summon enemy,[右方]的箭矢擊殺非召喚物敵人時,
,t40,When an arrow (below) kills a non-summon enemy,[下方]的箭矢擊殺非召喚物敵人時,
,t41,When an arrow (to the left) kills a non-summon enemy,[左方]的箭矢擊殺非召喚物敵人時,
,t42,When an arrow (above) kills a non-summon enemy,[上方]的箭矢擊殺非召喚物敵人時,
,t43,When an arrow [to the right] kills an enemy,[右方]的箭矢擊殺敵人時,
,t44,When an arrow [below] kills an enemy,[下方]的箭矢擊殺敵人時,
,t45,When an arrow [to the left] kills an enemy,[左方]的箭矢擊殺敵人時,
,t46,When an arrow [above] kills an enemy,[上方]的箭矢擊殺敵人時,
,t47,If there is a space above this,如果上方有格子,
,t48,For each adjacent or diagonal key,依照鄰接或對角的鑰匙數量來,
,t49,If there is a space above this,如果上方有格子,
,t50,For each space above this,依照上方的格子數量來,
,t51,For each space to the right,依照右方的格子數量來,
,t52,For each space to the left,依照左方的格子數量來,
,t53,For each adjacent item,依照鄰接的物品數量來,
,t53s,If there is an adjacent item,如果有鄰接的物品,
,t54,For each adjacent empty space,依照鄰接的空格數量來,
,t55,For each adjacent item,依照鄰接的物品數量來,
,t56,When a weapon is used,武器被使用時,
,t57,For each adjacent or diagonal consumable,依照鄰接或對角的消耗品數量來,
,t58,Each turn for each adjacent gem,每個回合依照鄰接的寶石數量來,
,t59,When a weapon kills an enemy,使用武器擊殺敵人時,
,t60,When an adjacent weapon is used,鄰接的武器被使用時,
,t61,When an adjacent or diagonal item is present,鄰接或對角有物品存在時,
,t62,For each adjacent accessory,依照鄰接的飾品數量來,
