Category,Key,English,Simplified Chinese,Notes
,ev17b2o2purse,"He draws his sword... and then... stops. ""Ha!"" he laughs. ""A rat with the heart of a fox. I respect you. You may have my blade.""",他拔出了他的剑……然后……停了下来，“哈！”他大笑。“老鼠身，狐狸心。我很欣赏你。你可以拿走我的剑。”,
,ev17b2o2t1,I respect your courage,我欣赏你的勇气,
,ev17i1,Fear me brigand!,害怕了吧！,
,ev17i2,Oh look!,哦，看啊！,
,ev17i2purse,"Oh look, a weak little rat.",哦，看啊，一只弱不禁风的小老鼠。,
,ev17i3,"If I was hungry, you'd be dead already.",幸好我还不饿，不然你早没命了。,
,ev17f1,Don't make me regret it!,可别让我反悔！,
,ev17f2,I've never spared a life before.,从没有谁能活着逃出我的手掌心。,
,ev17f3,I shall be watching you.,我会盯着你的。,
,,,,
,ev18n,shamanic turtle,乌龟萨满,
,ev18o1,"A waft of smoke passes by your nose. What is that? You smell a lot of strange things in the swamp, but ritual smoke of the turtles has an unmistakable order. Smells sweet like chocolate. Smells like they need to wash their shell too. ""Our magic is a gamble."" she says to you. ""Will you let fate guide you?""",一股浓烟掠过你的鼻尖。那是什么？虽然在沼泽里已经嗅过太多奇怪的气味，但你绝不会认错乌龟们的仪式烟雾。既香甜如糖巧，又异臭如淤泥。“我们的魔法就像一场赌博，”她对你说道，“你会接受命运的指引吗？”,
,ev18b1,80% legendary 20% other,80% 概率获得传说物品，20% 概率获得其它物品,
,ev18b1o1,"Fortune favors you and a legendary item appears at the base of her staff. ""Lucky"", she says.",命运女神眷顾了你，一件传说物品出现在她的法杖底下。“运气真好”，她说道。,
,ev18b1o2,"Alas, she says. ""The spirits are not speaking today. Perhaps this item can still be useful to you.""",“哎……”她叹了口气。“圣灵不语，时运不与。不过这件物品也许对你还有点用。”,
,ev18b2,70% legendary 30% other,70% 概率获得传说物品，30% 概率获得其它物品,
,ev18b2o1,"Fortune favors you and a legendary item appears at the base of her staff. ""Lucky"", she says.",命运女神眷顾了你，一件传说物品出现在她的法杖底下。“运气真好”，她说道。,
,ev18b2o2,"Alas, she says. ""The spirits are not speaking today. Perhaps this item can still be useful to you.""",“哎……”她叹了口气。“圣灵不语，时运不与。不过这件物品也许对你还有点用。”,
,ev18b3,50% legendary 50% other,50% 概率获得传说物品，50% 概率获得其它物品,
,ev18b3o1,"Fortune favors you and a legendary item appears at the base of her staff. ""Lucky"", she says.",命运女神眷顾了你，一件传说物品出现在她的法杖底下。“运气真好”，她说道。,
,ev18b3o2,"Alas, she says. ""The spirits are not speaking today. Perhaps this item can still be useful to you.""",“哎……”她叹了口气。“圣灵不语，时运不与。不过这件物品也许对你还有点用。”,
,ev18b4,10% legendary 90% other,10% 概率获得传说物品，90% 概率获得其它物品,
,ev18b4o1,"Fortune favors you and a legendary item appears at the base of her staff. ""Lucky"", she says.",命运女神眷顾了你，一件传说物品出现在她的法杖底下。“运气真好”，她说道。,
,ev18b4o2,"Alas, she says. ""The spirits are not speaking today. Perhaps this item can still be useful to you.""",“哎……”她叹了口气。“圣灵不语，时运不与。不过这件物品也许对你还有点用。”,
,ev18b5,No thanks!,不用了，谢谢！,
,ev18b5o1,She nods her head,她点了点头,
,ev18i1,Hey - cute little one!,嘿，可爱的小家伙！,
,ev18i2,Come here let me pinch your cheek.,快过来，让我捏捏你的脸蛋。,
,ev18f1,Goodbye child.,再见了，孩子。,
,ev18f2,Come back soon now!,记得回来看我！,
,ev18f3,"You stay away from deep water, okay?",离深水远一点，好吗？,
,,,,
,ev19n,Wheel,幸运转盘,
,ev19o1,Spin the wheel!,转动转盘！,
,ev19i1,Spin the choice!,转到你心仪的奖品！,
,ev19i2,Will you take a spin?,你想试试大转盘吗？,
,ev19i3,Spin and see what you get!,转一转，看你能转到什么！,
,ev19i4,"Spin the wheel, win a prize, thank me later!",转动转盘，赢得大奖，你会感谢我的！,
,ev19f1,Thanks for playing!,感谢参与！,
,ev19f2,Hope you had fun!,玩得开心！,
,ev19f3,Moles are the best gamers.,鼹鼠们是最棒的玩家。,
,,,,
,evCardi1,The cards hold your future - or your doom!,这些卡牌预示着你的未来——抑或是你的灭亡！,
,evCardf1,The truth is in the cards,真理蕴藏在这些卡牌之中,
,,,,
,ev20n,Apprentice of Magic,魔法学徒,
,ev20o1,"You discover a rabbit in a witch's hat. It's a bit too big for her, pushing her ears back. ""I've been learning all about magic! It's really amazing! Are you learning too?""",你发现一只戴着女巫帽的兔子。帽子对她来说明显过大了，把她的耳朵都压向了后脑勺。“我一直在学习魔法相关的东西！它们真的很神奇！你也在学习魔法吗？”,
,ev20o1tote,"You discover a rabbit in a witch's hat. It's a bit too big for her, pushing her ears back. ""Wow!"" she says. ""Your backpack looks enchanted! Can I offer you a wand?""",你发现一只戴着女巫帽的兔子。帽子对她来说明显过大了，把她的耳朵都压向了后脑勺。“哇！”她说道。“你的背包看起来被施了魔法！我可以卖给你一根魔杖吗？”,
,ev20b1,Buy a wand,买一根魔杖,
,ev20b1o1,"You can have my first wand, she says. ""I've outgrown it. I'm on my second wand now.""",“你可以拿走我的第一根魔杖，”她说道。“我已经熟练多了。我现在已经在用第二根魔杖了。”,
,ev20b1o1t1,Hope you like it!,希望你喜欢它！,
,ev20b1o1t2,I'll miss that wand!,我会想念那根魔杖的！,
,ev20b2,No thanks,不用了，谢谢,
,ev20b2o1,"Oh well, she says. ""I guess I still have a few things to learn from this wand anyway.""",“哦，好吧，”她说道。“我想我还能从这根魔杖中再学点东西。”,
,ev20b2o1t1,"Don't need my wand, huh?",不需要我的魔杖，是吗？,
,ev20b2o1t2,Only as good as your wand!,自己的魔杖才是最好的！,
,ev20i1,Oh boy! Another adventurer!,天啊！又是一个冒险家！,
,ev20i2,Gee! An explorer here?!,哇！这有个探险家？！,
,ev20i3,Are you learning to be a mage too?,你也在学魔法吗？,
,ev20i3tote,Wow! A toad learning magic from me! What an honor!,哇！一只青蛙在向我学习魔法！多么荣幸！,
,ev20i4,I'm not alone!,看来这里不止我一个！,
,ev20f1,This was great!,这根魔杖可是很棒的呀！,
,ev20f2,Wow! I hope to see you so soon!,哇！希望很快能再见到你！,
,ev20f3,So glad we met!,很高兴认识你！,
,ev20f4,Bi'ya! Bi'ya!,拜~拜！,
,,,,
,ev21n,Scholar of Magic,魔法学者,
,ev21o1,"A rabbit is here practicing spells on a nearby rock. ""I've learned so much,"" she says. ""Can I interest you in a magic book?""",一只兔子正在附近的岩石上练习咒语。“我已经从这本魔法书中学到了很多知识，”她说道。“你想把它买下来研习吗？”,
,ev21b1,Buy a book,买一本书,
,ev21b1o1,"Enjoy your read! she says. ""And let me know if you want to hang out sometime soon. I'm free pretty much any time.""",“祝你研习顺利！”她说道。“如果你想找个时间出去玩，记得告诉我。我随时都有空。”,
,ev21b1o1t1,Hope you like it!,希望你喜欢它！,
,ev21b1o1t2,It's a real page turner!,这真是一本让人爱不释手的书啊！,
,ev21b1o1t3,Read it too many times already.,这本书我已经读过太多遍了。,
,ev21b2,No thanks,不用了，谢谢,
,ev21b2o1,"""Rats!"" she says. ",“是老鼠！”她说道。,
,ev21b2o1purse,"""Rats!"" she says. ""Oh! I hope I didn't offend you!""",“是老鼠！”她说道。“哦！无意冒犯！”,
,ev21b2o1t1,Book still available!,我这还有几本魔法书！,
,ev21b2o1t2,I guess I can read it again.,我想我可以再读一遍。,
,ev21b2o1t3,I'll read it a few more times.,我会再读读这本书。,
,ev21b2o1t4,I can probably learn a lot from this.,我应该可以温故而知新。,
,,,,
,ev22n,Matthew's Blessing,马修的祝福,
,ev22o1,"A wise rabbit sits there, meditating in the midst of this dangerous place. ""Fear not"", he says. """"My name is matthew, and I have lived here for many years. With proper organization, any challenge may be overcome. Now let me assist you...""",一只兔子贤者正在这个危机四伏的地方打坐冥想。“无需恐惧，”他说道。“吾名马修，经年栖居于此。好好整理背包，凡事预则立。让吾助汝……”,
,ev22b1,start with 2 uncommon items,带着 2 件稀有物品开局,
,ev22b1o1,"Indeed, says Matthew. ""But remember, rare items are a crutch. Good organization requires skill - not rarity.""",“诚然，”马修说道。“谨记，稀有物品只是外物。整理背包仰赖技巧——而非稀有度。”,
,ev22b2,gain 10 max hp,获得 10 点最大血量,
,ev22b2o1,"True strength comes from your backpack, he says. ""Don't forget it""",“真正的力量源自你的背包，”他说道。“切切勿忘”,
,ev22b3,Become an archer,成为一名弓箭手,
,ev22b3o1,"""Archery is a true art form. So many pieces must be carefully placed."" He produces a bow and arrows. ""Perhaps I can help you begin""",“箭术乃一门艺术。务要敬小慎微。”他取出一组弓箭。“或许，吾能助汝开始”,
,ev22b4,Get a rare item,获得 1 件罕见物品,
,ev22b4o1,"True strength comes from your backpack, he says. ""Don't forget it""",“真正的力量源自你的背包，”他说道。“切切勿忘”,
,ev22i1,Allow me to help you...,请让我帮你……,
,ev22i2,"With care, even you can survive...",小心谨慎的话，兴许你也能活下来……,
,ev22i3,Take time to organize...,心无旁骛，好好整理背包……,
,ev22i4,You will make it! Just organize...,你会成功的！只要好好整理……,
,ev22i5,It's all about arrangement...,排列组合是关键……,
,ev22i6,What you carry says a lot about you...,从你的随身物品就能了解你的性格……,
,ev22i7,A beautiful backpack  is its own reward...,善有善包…….,
,ev22i8,Everything in its place...,一切都井井有条……,
,ev22i9,A perfect backpack... a fantasy...,一个完美的背包……恍然如梦……,
,ev22i10,"Accept what you get, organize...",虚心接受，耐心整理……,
,ev22i11,When your backpack is full of lemons...,背包里装满了柠檬，就会……,
,ev22f1,I have faith...,我有信心……,
,ev22f2,I know you will make it...,我知道你会成功……,
,ev22f3,I believe in you...,我相信你……,
,ev22f4,My blessings guide you...,我的祝福指引着你……,
,ev22f5,Let your backpack show you the way..,愿你的背包能指引你的方向……,
,,,,
,evss,Want to see what I have today?,想看看我今天准备了什么吗？,
,evso1,Here's what I have today...,这些就是今天的商品……,
,evso2,Found most of these under a toadstool,大部分是在毒蘑菇下找到的,
,evso3,I have selections from across the land!,各地的好货我都有！,
,evso4,Rare items for you!,专门给你准备的精品！,
,evsr1,Not right for you?,觉得不适合自己吗？,
,evsr2,"Okay, here's your money back!",好吧，把钱还你！,
,evsr3,I was sorry to let this go anyway!,反正我也舍不得卖出这个东西！,
,evsr4,I'll take it back!,那我就拿回来咯！,
,evss1,More money for me!,财富滚滚而来！,
,evss2,Okay - hand it over,好嘞，拿来吧,
,evss3,I'll try it out,我来试试看,
,evss4,I'll buy that for a dollar!,我愿意出一点价！,
,evsf1,Yum! I'll be taking that!,好耶！我要那个东西！,
,evsf2,I want that!,我想要那个！,
,evsf3,Woah! A tasty fly! Give me!,哇哦！美味的苍蝇！给我给我！,
,evsa1,Thank you!,谢谢你！,
,evsa2,Economics!,这就是经济学！,
,evsa3,Hope you enjoy it!,希望你能喜欢！,
,evsa4,It looks good on you!,看起来很适合你！,
,evsa5,Frogs have no use for these anyway!,反正青蛙带着这些也没用！,
,evsa6,Trading is fun!,做生意是种乐趣！,
,evsa7,Right into your backpack!,就拿来充实你的背包啦！,
,evsgb1,See you later!,回头见！,
,evsgb2,Good luck storming the dungeon!,祝你顺利攻略地牢！,
,evsgb3,See you again soon!,下次再见！,
,evsgb4,Let me know if you see any tasty flies!,如果你看到了美味的苍蝇，一定要告诉我！,
,evsca1,Maybe if you get some more money!,多挣点钱再来吧！,
,evsca2,You can't afford this!,你买不起这个！,
,evsca3,You need more coins!,你还需要更多金币！,
,evsca4,I need payment!,我要挣钱的！,
,evsca5,This isn't a charity!,这可不是做慈善！,
,evsca6,Nothing is free,天下没有免费的午餐,
,,,,
buttons,b1,End Turn,结束回合,
,b2,Stats,数据统计,
,b3,Save Game,保存游戏,
,b4,options,选项设置,
,b5,reorganize,整理背包,
,b6,Scratch,爪击,
,b7,done,完成,
,b7back,back,返回,
,b8,Go adventuring!,去冒险吧！,
,b9,cancel,取消,
,b10,Test,测试,
,b11,Run,运行,
,b12,Autorun: on,自动运行：开启,
,b13,Autorun: off,自动运行：关闭,
,bd1,Scratch the enemy for 3 damage. Costs 1 Energy,发动爪击，对敌人造成 3 点伤害。消耗 1 点能量,
,bd2,Reorganize your inventory in battle. Costs 3 energy,在战斗中重新整理背包。消耗 3 点能量,
,bd3,Test your core,测试你的核心,
,bd4,Run your core - ends your turn,运行你的核心，然后结束回合,
,bd5,"When autorun is enabled, you will automatically use your core at the start of each turn",自动运行开启时，你将在每回合开始时自动运行核心,
hud,h1,floor,层数,
,h2,experience,经验,
,h3,max level,满级,
,h4,level,等级,
status effects,se1,Poison,中毒,
,se1d,Will take /x damage at the end of turn,将在回合结束时，受到 /x 点伤害,
,se2,Regen,再生,
,se2d,Will recover  /x health at start of turn,将在回合开始时，回复 /x 点血量,
,se3,Spikes,尖刺,
,se3d,Will deal /x damage if attacked,将在受到攻击时，造成 /x 点伤害,
,se4,Haste,疾速,
,se4d,Will add /x additional block when blocking,将在进行格挡时，额外增加 /x 点格挡值,
,se5,Slow,缓速,
,se5d,Will reduce block by /x when blocking,将在进行格挡时，额外减少 /x 点格挡值,
,se6,Rage,狂怒,
,se6d,Will add /x damage when attacking,将在进行攻击时，增加 /x 点伤害,
,se7,Weak,虚弱,
,se7d,Will reduce /x damage when attacking,将在进行攻击时，减少 /x 点伤害,
,se8,Dodge,闪避,
,se8d,The next /x attacks will do no damage,面对接下来的 /x 次攻击，不会受到伤害,
,se9,Frozen,冰冻,
,se9d,/Will take no action for /x turns,在接下来 /x 个回合，无法行动,
,se10,Burn,灼烧,
,se10d,Will take /x damage at start of turn. This can be blocked,将在回合开始时，受到 /x 点伤害。可被格挡,
,se11,Tough Hide,韧肤,
,se11d,Damage from projectiles is reduced by /x%,来自投射物的伤害减少 /x%,
Card Descriptors,Energy,Energy,能量,
,Energyd,Energy is a resource you gain each turn. You need to end your turn to get more,能量是你每回合获得的一种资源。你需要结束你的回合来获得更多能量,
,Enemy,Enemy,敌人,
,Enemyd,The currently selected enemy. You can target any enemy,当前选择的敌人。你可以选择任意一名敌人,
,all enemies,all enemies,所有敌人,
,all enemiesd,All the current enemies - regardless of your target,所有在场上的敌人——不论你选择的目标是谁,
,Damage,Damage,伤害,
,Block,Block,格挡,
,Blockd,"When hit, most attacks decrease block instead of HP. Block resets each turn",被攻击时，会优先扣除格挡值，然后才会扣除血量。格挡值每回合都会清零,
,HP,HP,血量,
,HPd,"If HP is 0, you will die",如果血量降为 0 ，你就失败了,
,Luck,Luck,幸运,
,Luckd,Luck increases your chances of finding rare items. It stacks!,幸运可以增加你找到稀有物品的概率。幸运可以被叠加！,
,discarded,discarded,已丢弃,
,discardedd,Discarded carvings can be drawn again later this combat,已丢弃的雕饰在本场战斗中可以被再次抽取,
,Banished,Banished,已排除,
,Banishedd,Banished carvings are removed for the rest of this combat,已排除的雕饰在本场战斗中将被暂时移除,
,Disabled,Disabled,已失效,
,Disabledd,Items have no effects while disabled,物品在失效时无法发挥效果,
,Mana,Mana,法力,
,Manad,Mana can be used in some items instead of energy. To use mana the item must be adjacent to a manastone or connected through conductive items,法力可使用在某些不消耗能量的物品上。要使用法力，物品必须与魔石邻接或经由法力传导物品接通。,
Store,Cost,Cost,价格,
,onSale,On Sale,促销中,
Rarities,common,common,普通,
,uncommon,uncommon,稀有,
,rare,rare,罕见,
,legendary,legendary,传说,
Types,weapon,Weapon,武器,
,Armor,Armor,护甲,
,Shield,Shield,盾牌,
,Accessory,Accessory,饰品,
,Bow,Bow,弓弩,
,Arrow,Arrow,箭矢,
,Consumable,Consumable,消耗品,
,Gold,Gold,金币,
,Manastone,Manastone,魔石,
,Key,Key,钥匙,
,Curse,Curse,诅咒,
,Ingredient,Ingredient,原料,
,Wand,Wand,魔杖,
,Book,Book,书本,
,Cleaver,Cleaver,厨刀,
,Clothing,Clothing,衣甲,
,Helmet,Helmet,头盔,
,Footwear,Footwear,鞋类,
,Fish,Fish,鱼类,
,Relic,Relic,遗物,
,Glove,Glove,手套,
,Magic,Magic,魔法,
,Gem,Gem,宝石,
,Structure,Structure,建材,
,Ring,Ring,戒指,
,Rune,Rune,符文,
,Carving,Carving,雕饰,
,Component,Component,零件,
,Potion,Potion,药水,
Limits,ul,use,使用次数,
,ulp,uses,使用次数,
,ul1,1 use,还可以使用 1 次,
,ul2,/x uses,还可以使用 /x 次,
,ul3,Can be used 1 time each turn,每回合可以使用 1 次,
,ul4,Can be used /x times each turn,每回合可以使用 /x 次,
,ul5,Can be used 1 time this turn,本回合可以使用1次,
,ul6,Can be used /x times this turn,本回合可以使用 /x 次,
,ul7,Can be used 1 time each combat,每场战斗可以使用 1 次,
,ul8,Can be used /x times each combat,每场战斗可以使用 /x 次,
,ul9,Can be used 1 time this combat,本场战斗可以使用 1 次,
,ul10,Can be used /x times this combat,本场战斗可以使用 /x 次,
,t1,On use,被使用时,
,t1c,On Summon,被召唤时,
triggers,t2,When destroyed,被摧毁时,
,t3,When added,被放入时,
,t4,When removed,被移出时,
,t5,Each turn,每回合,
,t6,When your turn ends,你的回合结束时,
,t7,Each combat,每场战斗,
,t8,When combat ends,战斗结束时,
,t9,On kill,击杀敌人时,
,t10,On kill (non summon),击杀非召唤类敌人时,
,t11,When rotated,被旋转时,
,t12,When out of uses,使用次数耗尽时,
,t13,When used,被使用后,
,t14,When selected,被选中后,
,t15,On take damage,受到伤害时,
,t15b,When attacked,被攻击时,
,t16,When this moves,此物品移动时,
,t17,When this finishes moving,此物品移动结束时,
,t18,When moved in combat,此物品在战斗中移动时,
,t19,On Scratch,进行爪击时,
,t20,For each empty space [to the right],[右侧] 每有一个空格子,
,t21,For each empty space [below],[下方] 每有一个空格子,
,t22,For each empty space [to the left],[左侧] 每有一个空格子,
,t23,For each empty space [above],[上方] 每有一个空格子,
,t24,For each adjacent structure,每有一个与它相邻的建材,
,t25,For each adjacent or diagonal structure,每有一个与它相邻或对角的建材,
,t26,When armor or a shield is present,背包里有盾牌或护甲时,
,t26b,For each armor or shield,每有一个盾牌或护甲,
,t27,For each space below,[下方] 每有一个格子,
,t28,When an item in this column is destroyed,此列的物品被摧毁时,
,t29,When an adjacent item is destroyed,与它相邻的物品被摧毁时,
,t29b,When an adjacent or diagonal item is destroyed,当与它相邻或对角的物品被摧毁时,
,t30,For each space above this,[上方] 每有一个格子,
,t30b,"If this is not in the top row,",如果它不在最上方一行中,
,t31,When an adjacent weapon is used,与它相邻的武器被使用时,
,t32,If there is an item two spaces away,如果距离两个格子处有物品,
,t33,For each adjacent or diagonal Curse,每有一个与它相邻或对角的诅咒,
,t33b,For each adjacent Curse,每有一个与它相邻的诅咒,
,t34,When a Wand kills an enemy,使用魔杖击杀敌人时,
,t35,If there is an adjacent weapon,如果与武器相邻,
,t36,For each connected Manastone,每有一颗接通的魔石,
,t37,For each adjacent curse,每有一个与它相邻的诅咒,
,t38,For each adjacent or diagonal Fish,每有一条与它相邻或对角的鱼类,
,t39,When an arrow (to the right) kills a non-summon enemy,当使用 [右侧] 的箭矢击杀非召唤类敌人时,
,t40,When an arrow (below) kills a non-summon enemy,当使用 [下方] 的箭矢击杀非召唤类敌人时,
,t41,When an arrow (to the left) kills a non-summon enemy,当使用 [左侧] 的箭矢击杀非召唤类敌人时,
,t42,When an arrow (above) kills a non-summon enemy,当使用 [上方] 的箭矢击杀非召唤类敌人时,
,t43,When an arrow [to the right] kills an enemy,当使用 [右侧] 的箭矢击杀敌人时,
,t44,When an arrow [below] kills an enemy,当使用 [下方] 的箭矢击杀敌人时,
,t45,When an arrow [to the left] kills an enemy,当使用 [左侧] 的箭矢击杀敌人时,
,t46,When an arrow [above] kills an enemy,当使用 [上方] 的箭矢击杀敌人时,
,t47,If there is a space above this,如果此物品 [上方] 有格子,
,t48,For each adjacent or diagonal key,每有一把与它相邻或对角的钥匙,
,t49,If there is a space above this,如果此物品 [上方] 有格子,
,t50,For each space above this,[上方] 每有一个格子,
,t51,For each space to the right,[右侧] 每有一个格子,
,t52,For each space to the left,[左侧] 每有一个格子,
,t53,For each adjacent item,每有一个与它相邻的物品,
,t53s,If there is an adjacent item,如果相邻格子有物品,
,t54,For each adjacent empty space,每有一个与它相邻的空格子,
,t55,For each adjacent item,每有一个与它相邻的物品,
,t56,When a weapon is used,武器被使用时,
,t57,For each adjacent or diagonal consumable,每有一个与它相邻或对角的消耗品,
,t58,Each turn for each adjacent gem,每回合，每有一颗与它相邻的宝石,
,t59,When a weapon kills an enemy,使用武器击杀敌人时,
,t60,When an adjacent weapon is used,与它相邻的武器被使用时,
,t61,When an adjacent or diagonal item is present,相邻或对角有物品时,
,t62,For each adjacent accessory,每有一个与它相邻的饰品,
,t63,For each adjacent gem,每有一颗与它相邻的宝石,
,t64,If adjacent to any item,如果与任何物品相邻,
,t65,If adjacent or diagonal to any item,如果与任何物品相邻或对角,
,t66,If adjacent or diagonal to armor or a shield,如果与护甲或盾牌相邻或对角,
,t67,When a diagonal shield is used,与它对角的盾牌被使用时,
,t68,For each adjacent or diagonal ring,每有一枚与它相邻或对角的戒指,
,t69,For each adjacent or diagonal curse,每有一个与它相邻或对角的诅咒,
,t70,If you have any armor,如果你拥有任何护甲,
,t71,When an adjacent or diagonal manastone is destroyed,与它相邻或对角的魔石被摧毁时,
,t72v,For each consumable in this row,此行每有一个消耗品,
,t73,When a shield is used,此行每有一颗魔石,
,tc1,On play,被打出时,
,tc2,When any carving is summoned,任何雕饰被召唤时,
,t73,For each manastone in this row,此行每有一颗魔石, WARNING: ENGLISH TEXT CHANGED #####################################################
,t74,For each adjacent consumable,每有一个与它相邻的消耗品,
,t75,For each adjacent fish,每有一条与它相邻的鱼类,
,t76,For each empty space to the right,[右侧] 每有一个空格子,
,t77,For each empty space in this column,此列每有一个空格子,
,t78,For each manastone above this,[上方] 每有一颗魔石,
,t79,For each carving in your discard,每有一个被丢弃的雕饰,
,t80,When a carving is used,雕饰被使用时,
,t81a,For each item along a diagonal line,对角线上每有一件物品,
,t81,If there is an item along a diagonal line,如果对角线上有物品,
,t82,When an adjacent carving is used,与它相邻的雕饰被使用时,
,t83,When an adjacent shield is used,与它相邻的盾牌被使用时,
,t84,For each space a charge has traveled before using this item,在使用物品前，充能每经过一个格子,
,t85,When an adjacent item kills a non-summon enemy,与它相邻的物品击杀非召唤类敌人时,
,t86,For each adjacent carving,每有一个与它相邻的雕饰,
,t87,When a carving is summoned,雕饰被召唤时,
,t88,When an adjacent consumable is used,与它相邻的消耗品被使用时,
,t89,On death,死亡时,
,t90,When an item is used,物品被使用时,
,t91,When a shield is used,盾牌被使用时,
,,,,
effects,e1,Deals /x damage,造成 /x 点伤害,
,e2,Hurts! Deals /x damage to self,真痛！对自身造成 /x 点伤害,
,e3,Deals /x damage to all enemies,对所有敌人造成 /x 点伤害,
,e4,Deals /x vampirism ,造成 /x 点吸血伤害,
,e5,Deals /x vampirism to all enemies,对所有敌人造成 /x 点吸血伤害,
,e6,Removes /x% of all block on self,移除自身 x% 的格挡值,
,e7,Multiplies current block by /x%,将当前格挡值乘以 x%,
,e8,Adds /x block,增加 /x 点格挡值,
,e9,Adds /x block to enemy,增加敌人 /x 点格挡值,
,e10,Adds /x block to all enemies,增加所有敌人 /x 点格挡值,
,e11,Removes /x block,移除 /x 点格挡值,
,e12,Removes /x block from enemy,移除敌人 /x 点格挡值,
,e13,Removes /x block from all enemies,移除所有敌人 /x 点格挡值,
,e14,Heals /x HP,回复 /x 点血量,
,e15,Enemy heals /x HP,敌人回复 /x 点血量,
,e16,All enemies heal /x HP,所有敌人回复 /x 点血量,
,e17,Lose /x HP,失去 /x 点血量,
,e18,Enemy loses /x HP,敌人失去 /x 点血量,
,e19,All enemies lose /x HP,所有敌人失去 /x 点血量,
,e20,Adds /x energy,增加 /x 点能量,
,e20d,Removes /x energy,移除 /x 点能量,
,e21,Adds /x Max HP,增加 /x 点最大血量,
,e21b,Removes /x Max HP,移除 /x 点最大血量,
,e22,Adds /x Mana to connected Mana network,为接通的法力网络增加 /x 点法力,
,e22b,Removes /x Mana from connected Mana network,从接通的法力网络移除 /x 点法力,
,e23,Adds Luck,增加幸运,
,e24,Adds Great Luck,大幅增加幸运,
,e25,Multiplies all status effects on self by /x%,将自身的所有状态效果乘以 /x%,
,e26,Multiplies all status effects on enemy by /x%,将敌人的所有状态效果乘以 /x%,
,e27,Multiplies all status effects on all enemies by /x%,将所有敌人的所有状态效果乘以 /x%,
,e28,Removes /x% of all status effects on self,移除自身 /x% 的所有状态效果,
,e29,Removes /x% of all status effects on enemy,移除敌人 /x% 的所有状态效果,
,e29b,Removes /x from all status effects on enemy,移除敌人 /x 层所有状态效果,
,e29c,Removes /x from all status effects on all enemies,移除所有敌人 /x 层所有状态效果,
,e29e,Removes /x from all status effects on everyone,移除所有人 /x 层所有状态效果,
,e30,Removes /x% of all status effects on all enemies,移除所有敌人 /x% 所有状态效果,
,e31,Adds /x poison to self,对自身叠加 /x 层中毒,
,e32,Adds /x regen to self,对自身叠加 /x 层再生,
,e33,Adds /x spikes to self,对自身叠加 /x 层尖刺,
,e34,Adds /x haste to self,对自身叠加 /x 层疾速,
,e35,Adds /x slow to self,对自身叠加 /x 层缓速,
,e36,Adds /x rage to self,对自身叠加 /x 层狂怒,
,e37,Adds /x weak to self,对自身叠加 /x 层虚弱,
,e38,Adds /x dodge to self,对自身叠加 /x 层闪避,
,e39,Adds /x poison to enemy,对敌人施加 /x 层中毒,
,e40,Adds /x regen to enemy,对敌人施加 /x 层再生,
,e41,Adds /x spikes to enemy,对敌人施加 /x 层尖刺,
,e42,Adds /x haste to enemy,对敌人施加 /x 层疾速,
,e43,Adds /x slow to enemy,对敌人施加 /x 层缓速,
,e44,Adds /x rage to enemy,对敌人施加 /x 层狂怒,
,e45,Adds /x weak to enemy,对敌人施加 /x 层虚弱,
,e46,Adds /x dodge to enemy,对敌人施加 /x 层闪避,
,e46b,Adds /x burn to enemy,对敌人施加 /x 层灼烧,
,e47,Adds /x poison to all enemies,对所有敌人施加 /x 层中毒,
,e48,Adds /x regen to all enemies,对所有敌人施加 /x 层再生,
,e49,Adds /x spikes to all enemies,对所有敌人施加 /x 层尖刺,
,e50,Adds /x haste to all enemies,对所有敌人施加 /x 层疾速,
,e51,Adds /x slow to all enemies,对所有敌人施加 /x 层缓速,
,e52,Adds /x rage to all enemies,对所有敌人施加 /x 层狂怒,
,e53,Adds /x weak to all enemies,对所有敌人施加 /x 层虚弱,
,e54,Adds /x dodge to all enemies,对所有敌人施加 /x 层闪避,
,e54b,Adds /x burn to all enemies,对所有敌人施加 /x 层灼烧,
,e55,Removes /x poison from self,移除自身 /x 层中毒,
,e56,Removes /x regen from self,移除自身 /x 层再生,
,e57,Removes /x spikes from self,移除自身 /x 层尖刺,
,e58,Removes /x haste from self,移除自身 /x 层疾速,
,e59,Removes /x slow from self,移除自身 /x 层缓速,
,e60,Removes /x rage from self,移除自身 /x 层狂怒,
,e61,Removes /x weak from self,移除自身 /x 层虚弱,
,e62,Removes /x dodge from self,移除自身 /x 层闪避,
,e63,Removes /x poison from enemy,移除敌人 /x 层中毒,
,e64,Removes /x regen from enemy,移除敌人 /x 层再生,
,e65,Removes /x spikes from enemy,移除敌人 /x 层尖刺,
,e66,Removes /x haste from enemy,移除敌人 /x 层疾速,
,e67,Removes /x slow from enemy,移除敌人 /x 层缓速,
,e68,Removes /x rage from enemy,移除敌人 /x 层狂怒,
,e69,Removes /x weak from enemy,移除敌人 /x 层虚弱,
,e70,Removes /x dodge from enemy,移除敌人 /x 层闪避,
,e71,Removes /x poison from all enemies,移除所有敌人 /x 层中毒,
,e72,Removes /x regen from all enemies,移除所有敌人 /x 层再生,
,e73,Removes /x spikes from all enemies,移除所有敌人 /x 层尖刺,
,e74,Removes /x haste from all enemies,移除所有敌人 /x 层疾速,
,e75,Removes /x slow from all enemies,移除所有敌人 /x 层缓速,
