Category,Key,English,Japanese,Notes
,ev13b2,No thanks,要らない,
,ev13b2o1,"You see his tail flick ominously beneath his cloak. A smile crosses his lips. ""Come now,"" he says. ""I think you'll see it's in your interest.""",マントの下で尻尾が不気味に揺れている。カエルは口元に笑みを浮かべた。「さてさて。きっと君の役に立つよ。」,
,ev13b2o1t1,Don't resist this deal,良い取り引きだろう,
,ev13b2o1t2,Let me tempt you,ほら、自分の気持ちに正直にさ,
,ev13b2o1t3,"Come now, let's trade",ほら、取り引きをしよう,
,ev13i1,What are ya' trading?,何と取り引きしたい？,
,ev13i2,Lets make a deal!,さて、取り引きだ！,
,ev13i3,Care to do a trade?,取り引きするか？,
,ev13f1,He he he,へっへっへ,
,ev13f2,What a sucker...,カモだな…,
,,,,
,ev14n,Shady Trader,日陰の商人,
,ev14o1,"His cloak billows as he steps out from the shadows. ""We can make a trade, you and I."" he says. You know risks are involved.",影から姿を現しマントをなびかせた彼は、「取り引きしよう、君と僕で」そう言った。リスクがあることは分かっている。,
,ev14b1,Get a different item of the same rarity,同じレア度の別アイテムを手に入れる,
,ev14b1o1,He takes your item and from his cloak pulls a replacement.,彼は君のアイテムを手に取り、自分のマントから交換するアイテムを取り出した。,
,ev14b2,No thanks!,要らない！,
,ev14b2o1,"Very well, he says. ""But can I perhaps change your mind?""",そうかい、彼は言った。「僕の話を聞いたら気が変わるかもしれないよ？」,
,ev14b2o1t1,The offer still stands.,いつでも待ってるよ。,
,,,,
,ev15n,squirrel patrol,リスのパトロール隊,
,ev15o1,"The squirrel looks at you absent mindedly. ""Long ago I retired from the patrol"", he says. ""Now I spend my days adventuring and reliving my glory days. I don't need much of my old equipment anymore. Can I interest you in something?""",リスがぼんやりとこちらを見ている。「ずっと前にパトロール隊は辞めたんだ。」そう言って、続ける。「今は冒険をしながら過ぎ去った栄光の日々を思い出したりして過ごしている。昔使っていた道具はもうあまり必要ないんだ。お前さん、欲しいものはあるかい？」,
,ev15b1,"""I'll take a shield""",「盾をもらう」, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev15b1o1,"From beneath his bushy tail, he pulls a shield. ""This may protect you. Remember, loot is only valuable if you make it back alive.""",彼はフサフサの尻尾の下から盾を取り出した。「お前さんを守ってくれるだろう。譲り受けたものというのは、戦場から生きて持ち帰らねばならんぞ。」,
,ev15b1o1t1,I hope the shield serves you well!,その盾がお前さんをよく守ってくれるだろう！,
,ev15b2,"""I'll take a weapon""",「武器をもらう」, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev15b2o1,"He reaches into his tunic and pulls out a weapon, tossing it to you.",彼は羽織った洋服から武器を取り出し、軽く投げた。,
,ev15b2o1t1,Strike down any who oppose the patrol!,パトロール隊に反対する者は全員倒す！,
,ev15b2o1t2,The patrol lives by these weapons!,パトロール隊はこの武器があってこそだ！,
,ev15b3,Maybe something to eat,何か食べるものを,
,ev15b3o1,"He scratches at the ground. Beneath his feet is a mound of nuts and hidden among them, many a delicious food.",彼は地面を引っかいた。足の下には木の実の山があり、その中においしい食べ物がたくさん埋もれている。,
,ev15b3o1t1,An army marches on its stomach!,軍の活力は胃袋からだ！,
,ev15b3o1t2,Better than what we used to eat on the patrol.,パトロール中に食べていたものよりおいしいな。,
,ev15i1,Hark! You are greeted by a member of the patrol!,良く聞け！パトロール隊員からの挨拶だ！,
,ev15f1,Long live the patrol!,パトロール万歳！,
,ev15f2,The patrol shall conquer!,パトロール隊が打ち破る！,
,ev15f3,"In retirement, I still patrol!",退職してもパトロールは続ける！,
,,,,
,ev16n,Statue of Anna,アンナの像,
,ev16o1,"Inscribed on the statue: ""Anna bestowed gifts The world felt safe in her arms healer in a fire""",像にこう掘られている。「アンナからの贈り物　世界は彼女の腕の中で安全に　炎に包まれた治療者」,
,ev16b1,Gain 5 max hp,最大HPが5増加,
,ev16b1o1,You leave a coin. Then kneel before the statue and say a prayer. Anna somehow seems to reflect light even in this dark place.,コインを捧げよう。そして像にひざまずき、祈りを捧げる。アンナはこの暗い場所でもなぜか光を反射しているように見える。,
,ev16b2,Steal coins [Get 10 gold or a fight begins],コインを盗む[10ゴールド手に入るかバトルが始まる],
,ev16b2o1,Travelers leave coins by the statue as a token for their prayers. You decide that Anna won't miss just a few.,旅人たちは祈りの印として像のそばにコインを置いていく。アンナが数枚なら見逃すのかどうかは君の判断に任せよう。,
,ev16b2o2,"You approach the statue to grab a few coins. As the coins jingle, you turn to see an approaching group of enemies.",コインを取ろうと像へ近づいた。コイン同士が音をたて、振り向くと敵が迫りくるのが見えた。,
,ev16b3,Leave,去る,
,ev16b3o1,You say a quick prayer. You decide to leave the statue behind.,素早く祈りを捧げた。像を後にした。,
,,,,
,ev17n,A Red fox in the dark,暗闇の中の赤いきつね,
,ev17o1,"The fox steps out from the shadows. ""Natural prey."", he says. ""If we battle, I shall make short work of you. Be ye friend or foe?""",陰からきつねが飛び出した。「自然の獲物だ。」彼はそう言って続ける。「戦うなら手短に済ませてやる。敵か味方か？」,
,ev17o1cr8,"From the darkness he emerges. A fox! His tail flicks beneath his cloak. ""You won't make much of a meal,"" he says. ""But a high price your body will fetch. Be ye friend or foe?""",暗闇から何者かが現れた。キツネだ！マントの下でしっぽがふわふわと動いている。「お前はたいした食事にはならないな」キツネはそう言った。「でも売り飛ばせば高値になるはずだ。敵か、味方か？, WARNING: AUTO-TRANSLATION #####################################################
,ev17o1tote,"The stones on your backpack glow - danger is near! You turn to see the fox. He has perhaps been watching you for a while. ""Been a while since I've had a Toad,"" he says. ""Be ye friend or foe?""",バックパックの石が光っている - 身に危険が迫っている！振り向くとキツネがいた。しばらく見張られていたようだ。「カエルを食べるのは久しぶりだな」キツネはそう言った。「敵か味方か？」, WARNING: AUTO-TRANSLATION #####################################################
,ev17b1,I'm a friend!,味方だ！,
,ev17b1o1,He nods and steps aside to let you pass. Your tail twitches instinctively. You're lucky he let you live.,きつねは頷き道を開けてくれた。本能的に尻尾がピクッと反応した。見逃してもらえてよかった。,
,ev17b1o1t1,Be gone then!,なら行け！,
,ev17b1o1t2,Don't make me regret it!,後悔させるなよ！,
,ev17b1o1t3,I shall watch you.,ずっと見てるよ。,
,ev17b2,I'm a foe! [Start Combat],敵だ！[バトル開始],
,ev17b2o1,He draws his sword. Slowly sizing you up...,きつねは剣を取り出した。ゆっくりと君を見定める…,
,ev17b2o2,"He draws his sword... and then... stops. ""Ha!"" he laughs. ""You have the heart of a fox. I respect you. You may have my blade.""",きつねは剣を取り出し…そして…動きを止めた。「ハッ！」笑っている。「きつねのような心意気をもったネズミか。尊敬しちゃうよ。この剣を持って行け。」, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev17b2o2purse,"He draws his sword... and then... stops. ""Ha!"" he laughs. ""A rat with the heart of a fox. I respect you. You may have my blade.""",きつねは剣を取り出し…そして…動きを止めた。「ハッ！」笑っている。「きつねのような心意気をもったネズミか。尊敬しちゃうよ。この剣を持って行け。」, WARNING: AUTO-TRANSLATION #####################################################
,ev17b2o2t1,I respect your courage,その度胸を尊敬する,
,ev17i1,Fear me brigand!,俺を怖がらせてみろ、盗賊め！,
,ev17i2,Oh look!,ほら見ろ！, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev17i2purse,"Oh look, a weak little rat.",お、小さい弱虫のネズミじゃないか。, WARNING: AUTO-TRANSLATION #####################################################
,ev17i3,"If I was hungry, you'd be dead already.",俺が腹をすかしていたらお前の命はすでになかったよ。,
,ev17f1,Don't make me regret it!,後悔させるなよ！,
,ev17f2,I've never spared a life before.,これまで獲物を見逃してやったことはない。,
,ev17f3,I shall be watching you.,ずっと見てるよ。,
,,,,
,ev18n,shamanic turtle,シャーマン・タートル,
,ev18o1,"A waft of smoke passes by your nose. What is that? You smell a lot of strange things in the swamp, but ritual smoke of the turtles has an unmistakable order. Smells sweet like chocolate. Smells like they need to wash their shell too. ""Our magic is a gamble."" she says to you. ""Will you let fate guide you?""",煙のがふわっと鼻をかすめる。何だ？沼地では色々と不思議な匂いがするが、カメが儀式で焚く煙は間違うはずがない。チョコレートのような甘い匂いだ。甲羅を洗わなければならないような臭いもする。「我々の呪文は賭けよ」 彼女は君に言った。 「運命に身を任せてみる？」,
,ev18b1,80% legendary 20% other,80% 超レア、20% その他,
,ev18b1o1,"Fortune favors you and a legendary item appears at the base of her staff. ""Lucky"", she says.",運は君に向いていたようだ。超レアアイテムが彼女の足元に現れた。「ツイてるわね。」,
,ev18b1o2,"Alas, she says. ""The spirits are not speaking today. Perhaps this item can still be useful to you.""",「あら」彼女は言った。「今日、精霊は話してないみたい。このアイテムでも役に立つとは思うわ。」,
,ev18b2,70% legendary 30% other,70% 超レア、30%その他,
,ev18b2o1,"Fortune favors you and a legendary item appears at the base of her staff. ""Lucky"", she says.",運は君に向いていたようだ。超レアアイテムが彼女の足元に現れた。「ツイてるわね。」,
,ev18b2o2,"Alas, she says. ""The spirits are not speaking today. Perhaps this item can still be useful to you.""",「あら」彼女は言った。「今日は精霊は話してないみたい。このアイテムでも役に立つとは思うわ。」,
,ev18b3,50% legendary 50% other,50% 超レア、50%その他,
,ev18b3o1,"Fortune favors you and a legendary item appears at the base of her staff. ""Lucky"", she says.",運は君に向いていたようだ。超レアアイテムが彼女の足元に現れた。「ツイてるわね。」,
,ev18b3o2,"Alas, she says. ""The spirits are not speaking today. Perhaps this item can still be useful to you.""",「あら」彼女は言った。「今日は精霊は話してないみたい。このアイテムでも役に立つとは思うわ。」,
,ev18b4,10% legendary 90% other,10% 超レア、90%その他,
,ev18b4o1,"Fortune favors you and a legendary item appears at the base of her staff. ""Lucky"", she says.",運は君に向いていたようだ。超レアアイテムが彼女の足元に現れた。「ツイてるわね。」,
,ev18b4o2,"Alas, she says. ""The spirits are not speaking today. Perhaps this item can still be useful to you.""",「あら」彼女は言った。「今日は精霊は話してないみたい。このアイテムでも役に立つとは思うわ。」,
,ev18b5,No thanks!,遠慮しておく！,
,ev18b5o1,She nods her head,彼女は頷いた,
,ev18i1,Hey - cute little one!,ねぇ - そこのかわい子ちゃん！,
,ev18i2,Come here let me pinch your cheek.,こっちに来て、ほっぺたをつまませて。,
,ev18f1,Goodbye child.,じゃあね、ベイビーちゃん。,
,ev18f2,Come back soon now!,また来てね！,
,ev18f3,"You stay away from deep water, okay?",水深が深いところには行っちゃだめよ？,
,,,,
,ev19n,Wheel,ルーレット,
,ev19o1,Spin the wheel!,ルーレットを回そう！,
,ev19i1,Spin the choice!,回してみよう！,
,ev19i2,Will you take a spin?,回してみる？,
,ev19i3,Spin and see what you get!,回すと何かが手に入る！,
,ev19i4,"Spin the wheel, win a prize, thank me later!",ルーレットを回すと、賞品がもらえて、君は感謝することだろう！,
,ev19f1,Thanks for playing!,遊んでくれてありがとう！,
,ev19f2,Hope you had fun!,楽しんでくれたかな？,
,ev19f3,Moles are the best gamers.,モグラが最強のプレイヤーだ。,
,,,,
,evCardi1,The cards hold your future - or your doom!,カードが示すのは君の明るい未来 - それとも破滅！？,
,evCardf1,The truth is in the cards,真相はカードが示している,
,,,,
,ev20n,Apprentice of Magic,見習い魔法使い,
,ev20o1,"You discover a rabbit in a witch's hat. It's a bit too big for her, pushing her ears back. ""I've been learning all about magic! It's really amazing! Are you learning too?""",魔女の帽子をかぶったウサギがいる。サイズが少し大きいようで、耳が後ろに折られている。「魔法を勉強しているの！素晴らしい力よ - カエルはすぐに変わるって言うけどね！」, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev20o1tote,"You discover a rabbit in a witch's hat. It's a bit too big for her, pushing her ears back. ""Wow!"" she says. ""Your backpack looks enchanted! Can I offer you a wand?""",魔女の帽子をかぶったウサギがいる。サイズが少し大きいようで、耳が後ろに折られている。「ワオ！」ウサギは言った。「あなたのバックバックには魔法がかかっているわね！杖はいかが？」, WARNING: AUTO-TRANSLATION #####################################################
,ev20b1,Buy a wand,杖を買う,
,ev20b1o1,"You can have my first wand, she says. ""I've outgrown it. I'm on my second wand now.""",「初めての杖をあげるわ」彼女は言った。「もうそれは使ってないの。2本目のを使ってるのよ。」,
,ev20b1o1t1,Hope you like it!,気に入ってくれるといいな！,
,ev20b1o1t2,I'll miss that wand!,その杖大事にしてね！,
,ev20b2,No thanks,要らない,
,ev20b2o1,"Oh well, she says. ""I guess I still have a few things to learn from this wand anyway.""",「あら、そう？」彼女は言った。「ま、私もその杖から学べることがまだ少しはあるかもしれないからね。,
,ev20b2o1t1,"Don't need my wand, huh?",私の杖、必要ないの？,
,ev20b2o1t2,Only as good as your wand!,あなたの杖と同じくらい素敵よ！,
,ev20i1,Oh boy! Another adventurer!,嘘！また冒険家が来たわ！,
,ev20i2,Gee! An explorer here?!,あら！こんなところに冒険家が？！,
,ev20i3,Are you learning to be a mage too?,あなたも魔法使いになる勉強をしているの？,
,ev20i3tote,Wow! A toad learning magic from me! What an honor!,きゃ！この私がカエルさんに魔法を教えているなんて！名誉なことだわ！, WARNING: AUTO-TRANSLATION #####################################################
,ev20i4,I'm not alone!,私はひとりじゃない！,
,ev20f1,This was great!,最高だった！,
,ev20f2,Wow! I hope to see you so soon!,わぁ！また会えたらいいな！,
,ev20f3,So glad we met!,会えてよかったよ！,
,ev20f4,Bi'ya! Bi'ya!,バイバイ！,
,,,,
,ev21n,Scholar of Magic,魔法学者,
,ev21o1,"A rabbit is here practicing spells on a nearby rock. ""I've learned so much,"" she says. ""Can I interest you in a magic book?""",近くの岩の上でウサギが呪文の練習をしている。「たくさん勉強したの」彼女は言った。「呪文の書に興味はある？」,
,ev21b1,Buy a book,本を買う,
,ev21b1o1,"Enjoy your read! she says. ""And let me know if you want to hang out sometime soon. I'm free pretty much any time.""",「楽しんでね！」彼女は言った。「私と話したいなら言ってよ。いつでも暇だから」,
,ev21b1o1t1,Hope you like it!,気に入ってくれるといいな！,
,ev21b1o1t2,It's a real page turner!,読み始めたら止まらないよ！,
,ev21b1o1t3,Read it too many times already.,もう何度も何度も読んだ。,
,ev21b2,No thanks,要らない,
,ev21b2o1,"""Rats!"" she says. ",ネズミだ！彼女は言った。, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev21b2o1purse,"""Rats!"" she says. ""Oh! I hope I didn't offend you!""",「ネズミだ！」彼女は言った。「あ、驚かせるつもりはなかったの！」, WARNING: AUTO-TRANSLATION #####################################################
,ev21b2o1t1,Book still available!,他にも本はあるよ！,
,ev21b2o1t2,I guess I can read it again.,あの本もう一度読もうかな。,
,ev21b2o1t3,I'll read it a few more times.,あと何回かは読もう。,
,ev21b2o1t4,I can probably learn a lot from this.,ここからは学ぶことがたくさんある。,
,,,,
,ev22n,Matthew's Blessing,マシューの祝福,
,ev22o1,"A wise rabbit sits there, meditating in the midst of this dangerous place. ""Fear not"", he says. """"My name is matthew, and I have lived here for many years. With proper organization, any challenge may be overcome. Now let me assist you...""",この危険な地帯の真ん中で、賢いウサギが腰を据えて瞑想している。「恐れるでない」彼は言った。「私の名はマシュー、もうずっとここに住んでいる。正しく配置をすれば、どんな困難も乗り越えられる。少し手助けをしよう…」,
,ev22b1,start with 2 uncommon items,ややレアアイテムを2つ手に入れる,
,ev22b1o1,"Indeed, says Matthew. ""But remember, rare items are a crutch. Good organization requires skill - not rarity.""",「なるほどな」マシューは言った。「しかし肝に銘じておけ、レアアイテムは支えでしかない。正しい配置には技術が必要だ、レア度の問題ではないぞ。」,
,ev22b2,gain 10 max hp,最大HPを10増加,
,ev22b2o1,"True strength comes from your backpack, he says. ""Don't forget it""",「真の強さはバックパックに宿る」彼は言った。「それを忘れるでないぞ」,
,ev22b3,Become an archer,弓使いになる,
,ev22b3o1,"""Archery is a true art form. So many pieces must be carefully placed."" He produces a bow and arrows. ""Perhaps I can help you begin""",「弓矢は真の芸術だ。一つひとつ慎重に配置するんだぞ。」彼は弓と矢を取り出した。「少し手伝おうか」, WARNING: ENGLISH TEXT CHANGED #####################################################
,ev22b4,Get a rare item,レアアイテムを手に入れる,
,ev22b4o1,"True strength comes from your backpack, he says. ""Don't forget it""",「真の強さはバックパックに宿る」彼は言った。「それを忘れるでないぞ」,
,ev22i1,Allow me to help you...,助けてやろう…,
,ev22i2,"With care, even you can survive...",慎重にいけば、お主だって生き残ることができる…,
,ev22i3,Take time to organize...,配置には時間をかけるのじゃ…,
,ev22i4,You will make it! Just organize...,お主ならできる！配置してみるのじゃ…,
,ev22i5,It's all about arrangement...,手配に全てがかかっている…,
,ev22i6,What you carry says a lot about you...,バックパックの中身が人柄を語る…,
,ev22i7,A beautiful backpack  is its own reward...,美しいバックパックはそれだけでご褒美じゃ…,
,ev22i8,Everything in its place...,全てをあるべき位置に…,
,ev22i9,A perfect backpack... a fantasy...,完璧なバックパック…夢のようじゃ…,
,ev22i10,"Accept what you get, organize...",手に入れたものを受け入れ、整理していく…,
,ev22i11,When your backpack is full of lemons...,バックパックがレモンでいっぱいでも…,
,ev22f1,I have faith...,私は誇りを持っている…,
,ev22f2,I know you will make it...,お主ならできる…,
,ev22f3,I believe in you...,私はお主を信じている…,
,ev22f4,My blessings guide you...,私の祝福がお主を導かんことを…,
,ev22f5,Let your backpack show you the way..,バックパックが道を示してくれる…,
,,,,
,evss,Want to see what I have today?,商品を見ていく？,
,evso1,Here's what I have today...,これが今日の品ぞろえだ…,
,evso2,Found most of these under a toadstool,ほとんどは毒キノコの下で見つけた,
,evso3,I have selections from across the land!,色んな場所から買い付けてきた！,
,evso4,Rare items for you!,レアアイテムあるよ！,
,evsr1,Not right for you?,これは要らないか？,
,evsr2,"Okay, here's your money back!",はい、コイン返すよ！,
,evsr3,I was sorry to let this go anyway!,ちょっと寂しくなるな！,
,evsr4,I'll take it back!,返してもらおう！,
,evss1,More money for me!,もっとコインをくれ！,
,evss2,Okay - hand it over,なるほど、いただこう,
,evss3,I'll try it out,試してみるよ,
,evss4,I'll buy that for a dollar!,1ドルで買おう！,
,evsf1,Yum! I'll be taking that!,おいしい！これはいただこう！,
,evsf2,I want that!,それは欲しい！,
,evsf3,Woah! A tasty fly! Give me!,うわ！美味いハエじゃないか！くれ！,
,evsa1,Thank you!,ありがとう！,
,evsa2,Economics!,経済的だ！,
,evsa3,Hope you enjoy it!,大事にしてくれ！,
,evsa4,It looks good on you!,似合ってるよ！,
,evsa5,Frogs have no use for these anyway!,カエルには使いようがないからな！,
,evsa6,Trading is fun!,取り引きは楽しいなぁ！,
,evsa7,Right into your backpack!,君のバックパックにぴったりだ！,
,evsgb1,See you later!,また来てくれ！,
,evsgb2,Good luck storming the dungeon!,地下牢の旅、気を付けて！,
,evsgb3,See you again soon!,またすぐ来てくれ！,
,evsgb4,Let me know if you see any tasty flies!,おいしそうなハエを見つけたら教えてくれ！,
,evsca1,Maybe if you get some more money!,もう少しコインを持ってきてくれ！,
,evsca2,You can't afford this!,コインが足りない！,
,evsca3,You need more coins!,もっとコインが必要だ！,
,evsca4,I need payment!,支払いをしてくれ！,
,evsca5,This isn't a charity!,慈善事業じゃないぞ！,
,evsca6,Nothing is free,無料で渡せるものはない,
,,,,
buttons,b1,End Turn,ターンを終わる,
,b2,Stats,データ,
,b3,Save Game,セーブ,
,b4,options,オプション,
,b5,reorganize,整理,
,b6,Scratch,引っかく,
,b7,done,完了,
,b7back,back,戻る,"""Go back to the previous menu"" WARNING: AUTO-TRANSLATION #####################################################"
,b8,Go adventuring!,冒険に出よう！,
,b9,cancel,キャンセル,
,b10,Test,テスト,
,b11,Run,実行,
,b12,Autorun: on,自動実行：オン,
,b13,Autorun: off,自動実行：オフ,
,bd1,Scratch the enemy for 3 damage. Costs 1 Energy,敵を引っ掻いて3ダメージ与える。エネルギーを1消費,
,bd2,Reorganize your inventory in battle. Costs 3 energy,バトルの最中にインベントリを整理する。3エネルギーを3消費,
,bd3,Test your core,コアをテストする,
,bd4,Run your core - ends your turn,コアを起動 - ターンを終了,
,bd5,"When autorun is enabled, you will automatically use your core at the start of each turn",自動実行をオンにすると、毎ターン開始時にコアが自動で実行される,
hud,h1,floor,フロア,
,h2,experience,経験値,
,h3,max level,最大レベル,
,h4,level,レベル, WARNING: AUTO-TRANSLATION #####################################################
status effects,se1,Poison,毒,
,se1d,Will take /x damage at the end of turn,ターン終了時に/xダメージを受ける, WARNING: ENGLISH TEXT CHANGED #####################################################
,se2,Regen,回復,
,se2d,Will recover  /x health at start of turn,ターン開始時に/x体力を回復する,
,se3,Spikes,スパイク,
,se3d,Will deal /x damage if attacked,攻撃を受けた時に/xダメージ与える,
,se4,Haste,加速,
,se4d,Will add /x additional block when blocking,防御した時に追加で/xの防御が発動,
,se5,Slow,減速,
,se5d,Will reduce block by /x when blocking,防御した時に防御数が/x減少する,
,se6,Rage,凶暴,
,se6d,Will add /x damage when attacking,攻撃した時に追加で/xダメージを与える,
,se7,Weak,弱体化,
,se7d,Will reduce /x damage when attacking,攻撃で与えるダメージが/x減少する,
,se8,Dodge,回避,
,se8d,The next /x attacks will do no damage,次の/x攻撃が無効になる,
,se9,Frozen,凍結,
,se9d,/Will take no action for /x turns,/xターンの間、何もしない,
,se10,Burn,燃焼,
,se10d,Will take /x damage at start of turn. This can be blocked,ターン開始時に/xダメージ受ける。防御可能。,
,se11,Tough Hide,ハードスキン, WARNING: AUTO-TRANSLATION #####################################################
,se11d,Damage from projectiles is reduced by /x%,投射体のダメージを/x%軽減する, WARNING: AUTO-TRANSLATION #####################################################
Card Descriptors,Energy,Energy,エネルギー, WARNING: AUTO-TRANSLATION #####################################################
,Energyd,Energy is a resource you gain each turn. You need to end your turn to get more,ターンごとにもらえる力の源。ターンが終われば回復する。, WARNING: AUTO-TRANSLATION #####################################################
,Enemy,Enemy,敵, WARNING: AUTO-TRANSLATION #####################################################
,Enemyd,The currently selected enemy. You can target any enemy,現在選択されている敵。狙う敵は自由に変えられる。, WARNING: AUTO-TRANSLATION #####################################################
,all enemies,all enemies,全ての敵, WARNING: AUTO-TRANSLATION #####################################################
,all enemiesd,All the current enemies - regardless of your target,選択の有無関係なく、現在対戦している全ての敵, WARNING: AUTO-TRANSLATION #####################################################
,Damage,Damage,ダメージ, WARNING: AUTO-TRANSLATION #####################################################
,Block,Block,防御, WARNING: AUTO-TRANSLATION #####################################################
,Blockd,"When hit, most attacks decrease block instead of HP. Block resets each turn",ほとんどの攻撃はヒットした時HPではなく防御を減少させる。防御力は毎ターンリセットされる, WARNING: AUTO-TRANSLATION #####################################################
,HP,HP,HP, WARNING: AUTO-TRANSLATION #####################################################
,HPd,"If HP is 0, you will die",HPが0になると死んでしまう, WARNING: AUTO-TRANSLATION #####################################################
,Luck,Luck,幸運, WARNING: AUTO-TRANSLATION #####################################################
,Luckd,Luck increases your chances of finding rare items. It stacks!,レアアイテムが見つかる確率が上がる。幸運は蓄積されていく！, WARNING: AUTO-TRANSLATION #####################################################
,discarded,discarded,廃棄, WARNING: AUTO-TRANSLATION #####################################################
,discardedd,Discarded carvings can be drawn again later this combat,捨てた彫刻はこのバトル中また引くことができる, WARNING: AUTO-TRANSLATION #####################################################
,Banished,Banished,消失, WARNING: AUTO-TRANSLATION #####################################################
,Banishedd,Banished carvings are removed for the rest of this combat,消えた彫刻はこのバトル中もう出現しない, WARNING: AUTO-TRANSLATION #####################################################
,Disabled,Disabled,無効化, WARNING: AUTO-TRANSLATION #####################################################
,Disabledd,Items have no effects while disabled,無効化されたアイテムは効果を発揮しない, WARNING: AUTO-TRANSLATION #####################################################
,Mana,Mana,マナ, WARNING: AUTO-TRANSLATION #####################################################
,Manad,Mana can be used in some items instead of energy. To use mana the item must be adjacent to a manastone or connected through conductive items,エネルギーの代わりにマナを使えるアイテムがある。マナを使うには、アイテムをマナストーンの隣に置くか、伝導性のアイテムと接続しよう, WARNING: AUTO-TRANSLATION #####################################################
Store,Cost,Cost,価格,
,onSale,On Sale,販売中,
Rarities,common,common,ふつう,
,uncommon,uncommon,ややレア,
,rare,rare,レア,
,legendary,legendary,超レア,
Types,weapon,Weapon,武器,
,Armor,Armor,鎧,
,Shield,Shield,盾,
,Accessory,Accessory,アクセサリー,
,Bow,Bow,弓,
,Arrow,Arrow,矢,
,Consumable,Consumable,消耗品,
,Gold,Gold,ゴールド,
,Manastone,Manastone,マナストーン,
,Key,Key,鍵,
,Curse,Curse,呪文,
,Ingredient,Ingredient,材料,
,Wand,Wand,杖,
,Book,Book,本,
,Cleaver,Cleaver,肉切り包丁,
,Clothing,Clothing,服,
,Helmet,Helmet,かぶと,
,Footwear,Footwear,靴,
,Fish,Fish,魚,
,Relic,Relic,遺跡,
,Glove,Glove,手袋,
,Magic,Magic,魔法,
,Gem,Gem,ジェム,
,Structure,Structure,建造物,
,Ring,Ring,リング,
,Rune,Rune,ルーン,
,Carving,Carving,彫刻,
,Component,Component,部品,
,Potion,Potion,ポーション,
Limits,ul,use,使用回数,
,ulp,uses,回,
,ul1,1 use,1回,
,ul2,/x uses,/x回,
,ul3,Can be used 1 time each turn,1ターンにつき1回使える,
,ul4,Can be used /x times each turn,1ターンにつき/x回使える,
,ul5,Can be used 1 time this turn,現ターンで1回使える,
,ul6,Can be used /x times this turn,現ターンで/x回使える,
,ul7,Can be used 1 time each combat,1バトルにつき1回使える,
,ul8,Can be used /x times each combat,1バトルにつき/x回使える,
,ul9,Can be used 1 time this combat,現バトルで1回使える,
,ul10,Can be used /x times this combat,現バトルで/x回使える,
,t1,On use,使用可,
,t1c,On Summon,召喚時, WARNING: AUTO-TRANSLATION #####################################################
triggers,t2,When destroyed,壊れた時,
,t3,When added,追加された時,
,t4,When removed,省かれた時,
,t5,Each turn,毎ターン,
,t6,When your turn ends,ターン終了時,
,t7,Each combat,毎バトル,
,t8,When combat ends,バトル終了時,
,t9,On kill,討伐時,
,t10,On kill (non summon),討伐時（×召喚）,
,t11,When rotated,回転時,
,t12,When out of uses,使い切った時,
,t13,When used,使った時,
,t14,When selected,選択した時,
,t15,On take damage,ダメージを受けた時,
,t15b,When attacked,攻撃された時, WARNING: AUTO-TRANSLATION #####################################################
,t16,When this moves,これが移動した時,
,t17,When this finishes moving,これの移動が終わった時,
,t18,When moved in combat,バトル内で動かされた時,
,t19,On Scratch,引っかいた時,
,t20,For each empty space [to the right],空のマスごと（右側）,
,t21,For each empty space [below],空のマスごと（下）,
,t22,For each empty space [to the left],空のマスごと（左側）,
,t23,For each empty space [above],空のマスごと（上）,
,t24,For each adjacent structure,隣り合う建築物ごと,
,t25,For each adjacent or diagonal structure,隣り合うか斜め同士の建築物ごと,
,t26,When armor or a shield is present,鎧か盾がある時,
,t26b,For each armor or shield,鎧か盾ごと, WARNING: AUTO-TRANSLATION #####################################################
,t27,For each space below,下側のマスごと,
,t28,When an item in this column is destroyed,この縦列にあるアイテムが壊れた時,
,t29,When an adjacent item is destroyed,隣のアイテムが壊れたとき,
,t29b,When an adjacent or diagonal item is destroyed,隣か斜めにあるアイテムが壊れた時,
,t30,For each space above this,これの上側のマスごと,
,t30b,"If this is not in the top row,",これが一番上の列にない場合、,
,t31,When an adjacent weapon is used,隣り合う武器が使用された時,
,t32,If there is an item two spaces away,2マス離れた場所にアイテムがある場合,
,t33,For each adjacent or diagonal Curse,隣か斜めにある呪文ごと,
,t33b,For each adjacent Curse,隣り合う呪文ごと,
,t34,When a Wand kills an enemy,杖で敵を倒した時,
,t35,If there is an adjacent weapon,隣り合う武器がある時,
,t36,For each connected Manastone,接続されたマナストーンごと,
,t37,For each adjacent curse,隣り合う呪文ごと,
,t38,For each adjacent or diagonal Fish,隣か斜めにある魚ごと,
,t39,When an arrow (to the right) kills a non-summon enemy,矢(右向き)で非召喚の敵を倒した時,
,t40,When an arrow (below) kills a non-summon enemy,矢(下向き)で非召喚の敵を倒した時,
,t41,When an arrow (to the left) kills a non-summon enemy,矢(左向き)で非召喚の敵を倒した時,
,t42,When an arrow (above) kills a non-summon enemy,矢(上向き)で非召喚の敵を倒した時,
